Dataset | March Current Population Survey | Cross-sectional representative sample of more than 50,000 U.S. civilian households containing detailed questions about household composition and sources of income. | [('Cross-sectional', 'JJ'), ('representative', 'JJ'), ('sample', 'NN'), ('of', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('50,000', 'CD'), ('U.S.', 'NNP'), ('civilian', 'JJ'), ('households', 'NNS'), ('containing', 'VBG'), ('detailed', 'JJ'), ('questions', 'NNS'), ('about', 'IN'), ('household', 'NN'), ('composition', 'NN'), ('and', 'CC'), ('sources', 'NNS'), ('of', 'IN'), ('income', 'NN'), ('.', '.')]
Dataset | Current Population Survey | Researchers use the CPS, and not the SIPP or CEX, for the imputation step of the analysis since the larger sample sizes guarantee a sufficient sample in each cell. Since reserachers are simply imputing averages by cell, researhers can easily estimate the averages in the CPS and then carry them over to these other data sets. This also has the virtue that researchers use the same Medicaid eligibility construct in both the CEX and the SIPP. | [('Researchers', 'NNS'), ('use', 'VBP'), ('the', 'DT'), ('CPS', 'NNP'), (',', ','), ('and', 'CC'), ('not', 'RB'), ('the', 'DT'), ('SIPP', 'NNP'), ('or', 'CC'), ('CEX', 'NNP'), (',', ','), ('for', 'IN'), ('the', 'DT'), ('imputation', 'JJ'), ('step', 'NN'), ('of', 'IN'), ('the', 'DT'), ('analysis', 'NN'), ('since', 'IN'), ('the', 'DT'), ('larger', 'JJR'), ('sample', 'NN'), ('sizes', 'VBZ'), ('guarantee', 'NN'), ('a', 'DT'), ('sufficient', 'JJ'), ('sample', 'NN'), ('in', 'IN'), ('each', 'DT'), ('cell', 'NN'), ('.', '.'), ('Since', 'IN'), ('reserachers', 'NNS'), ('are', 'VBP'), ('simply', 'RB'), ('imputing', 'VBG'), ('averages', 'NNS'), ('by', 'IN'), ('cell', 'NN'), (',', ','), ('researhers', 'NNS'), ('can', 'MD'), ('easily', 'RB'), ('estimate', 'VB'), ('the', 'DT'), ('averages', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('CPS', 'NNP'), ('and', 'CC'), ('then', 'RB'), ('carry', 'VB'), ('them', 'PRP'), ('over', 'IN'), ('to', 'TO'), ('these', 'DT'), ('other', 'JJ'), ('data', 'NNS'), ('sets', 'NNS'), ('.', '.'), ('This', 'DT'), ('also', 'RB'), ('has', 'VBZ'), ('the', 'DT'), ('virtue', 'NN'), ('that', 'IN'), ('researchers', 'NNS'), ('use', 'VBP'), ('the', 'DT'), ('same', 'JJ'), ('Medicaid', 'NNP'), ('eligibility', 'NN'), ('construct', 'NN'), ('in', 'IN'), ('both', 'CC'), ('the', 'DT'), ('CEX', 'NNP'), ('and', 'CC'), ('the', 'DT'), ('SIPP', 'NNP'), ('.', '.')]
Dataset | Consumer Expenditure Survey | The relevant CEX sample starts one year earlier than the interest period from 1984-93, as noted above. | [('The', 'DT'), ('relevant', 'JJ'), ('CEX', 'NNP'), ('sample', 'NN'), ('starts', 'VBZ'), ('one', 'CD'), ('year', 'NN'), ('earlier', 'RBR'), ('than', 'IN'), ('the', 'DT'), ('interest', 'NN'), ('period', 'NN'), ('from', 'IN'), ('1984-93', 'JJ'), (',', ','), ('as', 'IN'), ('noted', 'VBN'), ('above', 'IN'), ('.', '.')]
Dataset | Survey of Income and Program Participation | There are no SIPP data for the years 1989, 1990, and 1992 since there was no survey in 1988 or 1989, and both the 1990 and 1991 wealth interviews took place during 1992. | [('There', 'EX'), ('are', 'VBP'), ('no', 'DT'), ('SIPP', 'NNP'), ('data', 'NNS'), ('for', 'IN'), ('the', 'DT'), ('years', 'NNS'), ('1989', 'CD'), (',', ','), ('1990', 'CD'), (',', ','), ('and', 'CC'), ('1992', 'CD'), ('since', 'IN'), ('there', 'EX'), ('was', 'VBD'), ('no', 'DT'), ('survey', 'NN'), ('in', 'IN'), ('1988', 'CD'), ('or', 'CC'), ('1989', 'CD'), (',', ','), ('and', 'CC'), ('both', 'DT'), ('the', 'DT'), ('1990', 'CD'), ('and', 'CC'), ('1991', 'CD'), ('wealth', 'NN'), ('interviews', 'NNS'), ('took', 'VBD'), ('place', 'NN'), ('during', 'IN'), ('1992', 'CD'), ('.', '.')]
Dataset | Survey of Income and Program Participation | The SIPP sample did not contain observations from 1983, 1989, 1990, or 1992; thus these observation years are missing in the analysis. | [('The', 'DT'), ('SIPP', 'NNP'), ('sample', 'NN'), ('did', 'VBD'), ('not', 'RB'), ('contain', 'VB'), ('observations', 'NNS'), ('from', 'IN'), ('1983', 'CD'), (',', ','), ('1989', 'CD'), (',', ','), ('1990', 'CD'), (',', ','), ('or', 'CC'), ('1992', 'CD'), (';', ':'), ('thus', 'RB'), ('these', 'DT'), ('observation', 'NN'), ('years', 'NNS'), ('are', 'VBP'), ('missing', 'VBG'), ('in', 'IN'), ('the', 'DT'), ('analysis', 'NN'), ('.', '.')]
Dataset | Consumer Expenditure Survey | Evaluating the effects in dollar terms requires recognizing that the population that is affected by Medicaid is not representative of the full sample. In particular, given the skewed nature of wealth holdings, it is inappropriate to use the samplewide summary statistics from table 4. Moreover, summary statistics from the entire sample period incorporate the effects of the Medicaid expansions themselves, so that using them to evaluate the estimates would yield misleading results. | [('Evaluating', 'VBG'), ('the', 'DT'), ('effects', 'NNS'), ('in', 'IN'), ('dollar', 'NN'), ('terms', 'NNS'), ('requires', 'VBZ'), ('recognizing', 'VBG'), ('that', 'IN'), ('the', 'DT'), ('population', 'NN'), ('that', 'WDT'), ('is', 'VBZ'), ('affected', 'VBN'), ('by', 'IN'), ('Medicaid', 'NNP'), ('is', 'VBZ'), ('not', 'RB'), ('representative', 'JJ'), ('of', 'IN'), ('the', 'DT'), ('full', 'JJ'), ('sample', 'NN'), ('.', '.'), ('In', 'IN'), ('particular', 'JJ'), (',', ','), ('given', 'VBN'), ('the', 'DT'), ('skewed', 'JJ'), ('nature', 'NN'), ('of', 'IN'), ('wealth', 'NN'), ('holdings', 'NNS'), (',', ','), ('it', 'PRP'), ('is', 'VBZ'), ('inappropriate', 'JJ'), ('to', 'TO'), ('use', 'VB'), ('the', 'DT'), ('samplewide', 'NN'), ('summary', 'JJ'), ('statistics', 'NNS'), ('from', 'IN'), ('table', 'JJ'), ('4', 'CD'), ('.', '.'), ('Moreover', 'RB'), (',', ','), ('summary', 'JJ'), ('statistics', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('entire', 'JJ'), ('sample', 'NN'), ('period', 'NN'), ('incorporate', 'VBP'), ('the', 'DT'), ('effects', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('Medicaid', 'NNP'), ('expansions', 'NNS'), ('themselves', 'PRP'), (',', ','), ('so', 'RB'), ('that', 'IN'), ('using', 'VBG'), ('them', 'PRP'), ('to', 'TO'), ('evaluate', 'VB'), ('the', 'DT'), ('estimates', 'NNS'), ('would', 'MD'), ('yield', 'VB'), ('misleading', 'JJ'), ('results', 'NNS'), ('.', '.')]
Dataset | Survey of Income and Program Participation | Evaluating the effects in dollar terms requires recognizing that the population that is affected by Medicaid is not representative of the full sample. In particular, given the skewed nature of wealth holdings, it is inappropriate to use the samplewide summary statistics from table 4. Moreover, summary statistics from the entire sample period incorporate the effects of the Medicaid expansions themselves, so that using them to evaluate the estimates would yield misleading results. | [('Evaluating', 'VBG'), ('the', 'DT'), ('effects', 'NNS'), ('in', 'IN'), ('dollar', 'NN'), ('terms', 'NNS'), ('requires', 'VBZ'), ('recognizing', 'VBG'), ('that', 'IN'), ('the', 'DT'), ('population', 'NN'), ('that', 'WDT'), ('is', 'VBZ'), ('affected', 'VBN'), ('by', 'IN'), ('Medicaid', 'NNP'), ('is', 'VBZ'), ('not', 'RB'), ('representative', 'JJ'), ('of', 'IN'), ('the', 'DT'), ('full', 'JJ'), ('sample', 'NN'), ('.', '.'), ('In', 'IN'), ('particular', 'JJ'), (',', ','), ('given', 'VBN'), ('the', 'DT'), ('skewed', 'JJ'), ('nature', 'NN'), ('of', 'IN'), ('wealth', 'NN'), ('holdings', 'NNS'), (',', ','), ('it', 'PRP'), ('is', 'VBZ'), ('inappropriate', 'JJ'), ('to', 'TO'), ('use', 'VB'), ('the', 'DT'), ('samplewide', 'NN'), ('summary', 'JJ'), ('statistics', 'NNS'), ('from', 'IN'), ('table', 'JJ'), ('4', 'CD'), ('.', '.'), ('Moreover', 'RB'), (',', ','), ('summary', 'JJ'), ('statistics', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('entire', 'JJ'), ('sample', 'NN'), ('period', 'NN'), ('incorporate', 'VBP'), ('the', 'DT'), ('effects', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('Medicaid', 'NNP'), ('expansions', 'NNS'), ('themselves', 'PRP'), (',', ','), ('so', 'RB'), ('that', 'IN'), ('using', 'VBG'), ('them', 'PRP'), ('to', 'TO'), ('evaluate', 'VB'), ('the', 'DT'), ('estimates', 'NNS'), ('would', 'MD'), ('yield', 'VB'), ('misleading', 'JJ'), ('results', 'NNS'), ('.', '.')]
Dataset | U.S. Justice Department | Data from the U.S. Justice Department show that during the period 1989-2001, approximately 14 million persons migrated to the United States, of which 3.7 million came from Mexico and 360,000 from Canada. Migration to the United States from its NAFTA partners accounted for about 10% of the U.S. population increase during the period between 1989 and 2002. The NAFTA debates avoide the thorny issue of migration, as it was expected that as trade would increase, domestic production would expand and would generate greater employment opportunities and better conditions internally, thereby creating disincentives for people to emigrate from their homelands. Low growth of output and employment has led to diminished expectations in Mexico, thus favoring greater immigration to the United States and Canada. | [('Data', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), ('Justice', 'NNP'), ('Department', 'NNP'), ('show', 'NN'), ('that', 'IN'), ('during', 'IN'), ('the', 'DT'), ('period', 'NN'), ('1989-2001', 'JJ'), (',', ','), ('approximately', 'RB'), ('14', 'CD'), ('million', 'CD'), ('persons', 'NNS'), ('migrated', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), (',', ','), ('of', 'IN'), ('which', 'WDT'), ('3.7', 'CD'), ('million', 'CD'), ('came', 'VBD'), ('from', 'IN'), ('Mexico', 'NNP'), ('and', 'CC'), ('360,000', 'CD'), ('from', 'IN'), ('Canada', 'NNP'), ('.', '.'), ('Migration', 'NN'), ('to', 'TO'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('from', 'IN'), ('its', 'PRP$'), ('NAFTA', 'NNP'), ('partners', 'NNS'), ('accounted', 'VBD'), ('for', 'IN'), ('about', 'IN'), ('10', 'CD'), ('%', 'NN'), ('of', 'IN'), ('the', 'DT'), ('U.S.', 'NNP'), ('population', 'NN'), ('increase', 'NN'), ('during', 'IN'), ('the', 'DT'), ('period', 'NN'), ('between', 'IN'), ('1989', 'CD'), ('and', 'CC'), ('2002', 'CD'), ('.', '.'), ('The', 'DT'), ('NAFTA', 'NNP'), ('debates', 'NNS'), ('avoide', 'IN'), ('the', 'DT'), ('thorny', 'JJ'), ('issue', 'NN'), ('of', 'IN'), ('migration', 'NN'), (',', ','), ('as', 'IN'), ('it', 'PRP'), ('was', 'VBD'), ('expected', 'VBN'), ('that', 'IN'), ('as', 'IN'), ('trade', 'NN'), ('would', 'MD'), ('increase', 'VB'), (',', ','), ('domestic', 'JJ'), ('production', 'NN'), ('would', 'MD'), ('expand', 'VB'), ('and', 'CC'), ('would', 'MD'), ('generate', 'VB'), ('greater', 'JJR'), ('employment', 'NN'), ('opportunities', 'NNS'), ('and', 'CC'), ('better', 'JJR'), ('conditions', 'NNS'), ('internally', 'RB'), (',', ','), ('thereby', 'RB'), ('creating', 'VBG'), ('disincentives', 'NNS'), ('for', 'IN'), ('people', 'NNS'), ('to', 'TO'), ('emigrate', 'VB'), ('from', 'IN'), ('their', 'PRP$'), ('homelands', 'NNS'), ('.', '.'), ('Low', 'JJ'), ('growth', 'NN'), ('of', 'IN'), ('output', 'NN'), ('and', 'CC'), ('employment', 'NN'), ('has', 'VBZ'), ('led', 'VBN'), ('to', 'TO'), ('diminished', 'VB'), ('expectations', 'NNS'), ('in', 'IN'), ('Mexico', 'NNP'), (',', ','), ('thus', 'RB'), ('favoring', 'VBG'), ('greater', 'JJR'), ('immigration', 'NN'), ('to', 'TO'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('and', 'CC'), ('Canada', 'NNP'), ('.', '.')]
Dataset | Current Population Survey | In the Current Population Survey, the U.S. Bureau of Labor Statistics estimates the number of employed Mexican emigrants active in the American labor force for 2003 at 11.2 million with remunerated occupations. In order to obtain the diaspora GDP estimate (earned output), average labor productivity (U.S. GDP per worker) was estimated, and it was applied to the migrant Mexican labor force figures, to get its GDP share; the same procedure was followed to measure Mexico's lost output. | [('In', 'IN'), ('the', 'DT'), ('Current', 'NNP'), ('Population', 'NNP'), ('Survey', 'NNP'), (',', ','), ('the', 'DT'), ('U.S.', 'NNP'), ('Bureau', 'NNP'), ('of', 'IN'), ('Labor', 'NNP'), ('Statistics', 'NNPS'), ('estimates', 'VBZ'), ('the', 'DT'), ('number', 'NN'), ('of', 'IN'), ('employed', 'JJ'), ('Mexican', 'NNP'), ('emigrants', 'NNS'), ('active', 'JJ'), ('in', 'IN'), ('the', 'DT'), ('American', 'JJ'), ('labor', 'NN'), ('force', 'NN'), ('for', 'IN'), ('2003', 'CD'), ('at', 'IN'), ('11.2', 'CD'), ('million', 'CD'), ('with', 'IN'), ('remunerated', 'JJ'), ('occupations', 'NNS'), ('.', '.'), ('In', 'IN'), ('order', 'NN'), ('to', 'TO'), ('obtain', 'VB'), ('the', 'DT'), ('diaspora', 'NN'), ('GDP', 'NNP'), ('estimate', 'NN'), ('(', '('), ('earned', 'VBN'), ('output', 'NN'), (')', ')'), (',', ','), ('average', 'JJ'), ('labor', 'NN'), ('productivity', 'NN'), ('(', '('), ('U.S.', 'NNP'), ('GDP', 'NNP'), ('per', 'IN'), ('worker', 'NN'), (')', ')'), ('was', 'VBD'), ('estimated', 'VBN'), (',', ','), ('and', 'CC'), ('it', 'PRP'), ('was', 'VBD'), ('applied', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('migrant', 'JJ'), ('Mexican', 'NNP'), ('labor', 'NN'), ('force', 'NN'), ('figures', 'NNS'), (',', ','), ('to', 'TO'), ('get', 'VB'), ('its', 'PRP$'), ('GDP', 'NNP'), ('share', 'NN'), (';', ':'), ('the', 'DT'), ('same', 'JJ'), ('procedure', 'NN'), ('was', 'VBD'), ('followed', 'VBN'), ('to', 'TO'), ('measure', 'VB'), ('Mexico', 'NNP'), ("'s", 'POS'), ('lost', 'VBN'), ('output', 'NN'), ('.', '.')]
Dataset | Nacional de Estadística | Estimates on capital utilization were realized by the instituto Nacional de Estadística, Geografía, e Informática in Mexico, the Federal Reserve in the United States, and Statistics Canada. | [('Estimates', 'NNS'), ('on', 'IN'), ('capital', 'NN'), ('utilization', 'NN'), ('were', 'VBD'), ('realized', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('instituto', 'JJ'), ('Nacional', 'NNP'), ('de', 'FW'), ('Estadística', 'NNP'), (',', ','), ('Geografía', 'NNP'), (',', ','), ('e', 'NN'), ('Informática', 'NNP'), ('in', 'IN'), ('Mexico', 'NNP'), (',', ','), ('the', 'DT'), ('Federal', 'NNP'), ('Reserve', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), (',', ','), ('and', 'CC'), ('Statistics', 'NNPS'), ('Canada', 'NNP'), ('.', '.')]
Dataset | Federal Reserve | Estimates on capital utilization were realized by the instituto Nacional de Estadística, Geografía, e Informática in Mexico, the Federal Reserve in the United States, and Statistics Canada. | [('Estimates', 'NNS'), ('on', 'IN'), ('capital', 'NN'), ('utilization', 'NN'), ('were', 'VBD'), ('realized', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('instituto', 'JJ'), ('Nacional', 'NNP'), ('de', 'FW'), ('Estadística', 'NNP'), (',', ','), ('Geografía', 'NNP'), (',', ','), ('e', 'NN'), ('Informática', 'NNP'), ('in', 'IN'), ('Mexico', 'NNP'), (',', ','), ('the', 'DT'), ('Federal', 'NNP'), ('Reserve', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), (',', ','), ('and', 'CC'), ('Statistics', 'NNPS'), ('Canada', 'NNP'), ('.', '.')]
Dataset | Statistics Canada | Estimates on capital utilization were realized by the instituto Nacional de Estadística, Geografía, e Informática in Mexico, the Federal Reserve in the United States, and Statistics Canada. | [('Estimates', 'NNS'), ('on', 'IN'), ('capital', 'NN'), ('utilization', 'NN'), ('were', 'VBD'), ('realized', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('instituto', 'JJ'), ('Nacional', 'NNP'), ('de', 'FW'), ('Estadística', 'NNP'), (',', ','), ('Geografía', 'NNP'), (',', ','), ('e', 'NN'), ('Informática', 'NNP'), ('in', 'IN'), ('Mexico', 'NNP'), (',', ','), ('the', 'DT'), ('Federal', 'NNP'), ('Reserve', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), (',', ','), ('and', 'CC'), ('Statistics', 'NNPS'), ('Canada', 'NNP'), ('.', '.')]
Dataset | Current Population Survey | See the U.S. BLS Current Population Survey web page (www.bls.gov/cps/home.htm). Data are from the June 2004, table 6, listing employment status of the Hispanic or Latino population by sex, age, and detailed ethnic group. | [('See', 'VB'), ('the', 'DT'), ('U.S.', 'NNP'), ('BLS', 'NNP'), ('Current', 'NNP'), ('Population', 'NNP'), ('Survey', 'NNP'), ('web', 'VBZ'), ('page', 'NN'), ('(', '('), ('www.bls.gov/cps/home.htm', 'NN'), (')', ')'), ('.', '.'), ('Data', 'NNS'), ('are', 'VBP'), ('from', 'IN'), ('the', 'DT'), ('June', 'NNP'), ('2004', 'CD'), (',', ','), ('table', 'JJ'), ('6', 'CD'), (',', ','), ('listing', 'VBG'), ('employment', 'NN'), ('status', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Hispanic', 'NNP'), ('or', 'CC'), ('Latino', 'NNP'), ('population', 'NN'), ('by', 'IN'), ('sex', 'NN'), (',', ','), ('age', 'NN'), (',', ','), ('and', 'CC'), ('detailed', 'VBD'), ('ethnic', 'JJ'), ('group', 'NN'), ('.', '.')]
Dataset | International Trade Statistics | …author's estimates of intraregional trade growth are based on World Trade Organization, "International Trade Statistics" (2004), table A.3. | [('…author', 'NN'), ("'s", 'POS'), ('estimates', 'NNS'), ('of', 'IN'), ('intraregional', 'JJ'), ('trade', 'NN'), ('growth', 'NN'), ('are', 'VBP'), ('based', 'VBN'), ('on', 'IN'), ('World', 'NNP'), ('Trade', 'NNP'), ('Organization', 'NNP'), (',', ','), ('``', '``'), ('International', 'NNP'), ('Trade', 'NNP'), ('Statistics', 'NNPS'), ("''", "''"), ('(', '('), ('2004', 'CD'), (')', ')'), (',', ','), ('table', 'JJ'), ('A.3', 'NNP'), ('.', '.')]
Dataset | Bureau of Economic analysis | …author's estimates of investment position of NAFTA countries in the region (millions of dollars) are based on U.S. Bureau of Economic Analysis, "U.S. Direct Investment Position Abroad on a Historical-Cost Basis, 1994-2003" (www.bea.gov/bea/di/usdpos/pos_03.htm), and "Foreign Direct Investment Position in the United States on a Historical-Cost Basis, 1994-2003" (www.bea.gov/bea/di/fdipos/fdipos-03.htm). | [('…author', 'NN'), ("'s", 'POS'), ('estimates', 'NNS'), ('of', 'IN'), ('investment', 'NN'), ('position', 'NN'), ('of', 'IN'), ('NAFTA', 'NNP'), ('countries', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('region', 'NN'), ('(', '('), ('millions', 'NNS'), ('of', 'IN'), ('dollars', 'NNS'), (')', ')'), ('are', 'VBP'), ('based', 'VBN'), ('on', 'IN'), ('U.S.', 'NNP'), ('Bureau', 'NNP'), ('of', 'IN'), ('Economic', 'NNP'), ('Analysis', 'NNP'), (',', ','), ('``', '``'), ('U.S', 'NNP'), ('.', '.'), ('Direct', 'NNP'), ('Investment', 'NNP'), ('Position', 'NNP'), ('Abroad', 'NNP'), ('on', 'IN'), ('a', 'DT'), ('Historical-Cost', 'JJ'), ('Basis', 'NNP'), (',', ','), ('1994-2003', 'JJ'), ("''", "''"), ('(', '('), ('www.bea.gov/bea/di/usdpos/pos_03.htm', 'NN'), (')', ')'), (',', ','), ('and', 'CC'), ('``', '``'), ('Foreign', 'NNP'), ('Direct', 'NNP'), ('Investment', 'NNP'), ('Position', 'NN'), ('in', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('on', 'IN'), ('a', 'DT'), ('Historical-Cost', 'JJ'), ('Basis', 'NNP'), (',', ','), ('1994-2003', 'JJ'), ("''", "''"), ('(', '('), ('www.bea.gov/bea/di/fdipos/fdipos-03.htm', 'JJ'), (')', ')'), ('.', '.')]
Dataset | Statistics Canada | Information on job creation and destruction from 1994 to 2002 (thousands) by industry is collected from Statistics Canada, Labour Force Survey Estimates (LFS), by North American Industry Classification System (NAICS), Sex and Age Group, annual (persons unless otherwise noted) (22440 series), CANSIM table 282-000. Instituto Nacional de Estadistica, Geografía e Informática, "Sistema Nacional de Cuentas Nacionales 1993 a 2002", and U.S. Bureau of Labor Statistics, "Employment, Hours and earnings from the Current, Employment Statistics Survey," national (availabe at http://data.bls.gov/outside.jsp?survey=ce/). | [('Information', 'NN'), ('on', 'IN'), ('job', 'NN'), ('creation', 'NN'), ('and', 'CC'), ('destruction', 'NN'), ('from', 'IN'), ('1994', 'CD'), ('to', 'TO'), ('2002', 'CD'), ('(', '('), ('thousands', 'NNS'), (')', ')'), ('by', 'IN'), ('industry', 'NN'), ('is', 'VBZ'), ('collected', 'VBN'), ('from', 'IN'), ('Statistics', 'NNPS'), ('Canada', 'NNP'), (',', ','), ('Labour', 'NNP'), ('Force', 'NNP'), ('Survey', 'NNP'), ('Estimates', 'NNP'), ('(', '('), ('LFS', 'NNP'), (')', ')'), (',', ','), ('by', 'IN'), ('North', 'JJ'), ('American', 'JJ'), ('Industry', 'NNP'), ('Classification', 'NNP'), ('System', 'NNP'), ('(', '('), ('NAICS', 'NNP'), (')', ')'), (',', ','), ('Sex', 'NNP'), ('and', 'CC'), ('Age', 'NNP'), ('Group', 'NNP'), (',', ','), ('annual', 'JJ'), ('(', '('), ('persons', 'NNS'), ('unless', 'IN'), ('otherwise', 'RB'), ('noted', 'VBN'), (')', ')'), ('(', '('), ('22440', 'CD'), ('series', 'NN'), (')', ')'), (',', ','), ('CANSIM', 'NNP'), ('table', 'JJ'), ('282-000', 'CD'), ('.', '.'), ('Instituto', 'NNP'), ('Nacional', 'NNP'), ('de', 'FW'), ('Estadistica', 'NNP'), (',', ','), ('Geografía', 'NNP'), ('e', 'NN'), ('Informática', 'NNP'), (',', ','), ('``', '``'), ('Sistema', 'NNP'), ('Nacional', 'NNP'), ('de', 'FW'), ('Cuentas', 'NNP'), ('Nacionales', 'NNP'), ('1993', 'CD'), ('a', 'DT'), ('2002', 'CD'), ("''", "''"), (',', ','), ('and', 'CC'), ('U.S.', 'NNP'), ('Bureau', 'NNP'), ('of', 'IN'), ('Labor', 'NNP'), ('Statistics', 'NNPS'), (',', ','), ('``', '``'), ('Employment', 'NN'), (',', ','), ('Hours', 'NNP'), ('and', 'CC'), ('earnings', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('Current', 'NNP'), (',', ','), ('Employment', 'NNP'), ('Statistics', 'NNPS'), ('Survey', 'NNP'), (',', ','), ("''", "''"), ('national', 'JJ'), ('(', '('), ('availabe', 'JJ'), ('at', 'IN'), ('http', 'NN'), (':', ':'), ('//data.bls.gov/outside.jsp', 'NN'), ('?', '.'), ('survey=ce/', 'NN'), (')', ')'), ('.', '.')]
Dataset | Instituto Nacional de Estadistica | Information on job creation and destruction from 1994 to 2002 (thousands) by industry is collected from Statistics Canada, Labour Force Survey Estimates (LFS), by North American Industry Classification System (NAICS), Sex and Age Group, annual (persons unless otherwise noted) (22440 series), CANSIM table 282-000. Instituto Nacional de Estadistica, Geografía e Informática, "Sistema Nacional de Cuentas Nacionales 1993 a 2002", and U.S. Bureau of Labor Statistics, "Employment, Hours and earnings from the Current, Employment Statistics Survey," national (availabe at http://data.bls.gov/outside.jsp?survey=ce/). | [('Information', 'NN'), ('on', 'IN'), ('job', 'NN'), ('creation', 'NN'), ('and', 'CC'), ('destruction', 'NN'), ('from', 'IN'), ('1994', 'CD'), ('to', 'TO'), ('2002', 'CD'), ('(', '('), ('thousands', 'NNS'), (')', ')'), ('by', 'IN'), ('industry', 'NN'), ('is', 'VBZ'), ('collected', 'VBN'), ('from', 'IN'), ('Statistics', 'NNPS'), ('Canada', 'NNP'), (',', ','), ('Labour', 'NNP'), ('Force', 'NNP'), ('Survey', 'NNP'), ('Estimates', 'NNP'), ('(', '('), ('LFS', 'NNP'), (')', ')'), (',', ','), ('by', 'IN'), ('North', 'JJ'), ('American', 'JJ'), ('Industry', 'NNP'), ('Classification', 'NNP'), ('System', 'NNP'), ('(', '('), ('NAICS', 'NNP'), (')', ')'), (',', ','), ('Sex', 'NNP'), ('and', 'CC'), ('Age', 'NNP'), ('Group', 'NNP'), (',', ','), ('annual', 'JJ'), ('(', '('), ('persons', 'NNS'), ('unless', 'IN'), ('otherwise', 'RB'), ('noted', 'VBN'), (')', ')'), ('(', '('), ('22440', 'CD'), ('series', 'NN'), (')', ')'), (',', ','), ('CANSIM', 'NNP'), ('table', 'JJ'), ('282-000', 'CD'), ('.', '.'), ('Instituto', 'NNP'), ('Nacional', 'NNP'), ('de', 'FW'), ('Estadistica', 'NNP'), (',', ','), ('Geografía', 'NNP'), ('e', 'NN'), ('Informática', 'NNP'), (',', ','), ('``', '``'), ('Sistema', 'NNP'), ('Nacional', 'NNP'), ('de', 'FW'), ('Cuentas', 'NNP'), ('Nacionales', 'NNP'), ('1993', 'CD'), ('a', 'DT'), ('2002', 'CD'), ("''", "''"), (',', ','), ('and', 'CC'), ('U.S.', 'NNP'), ('Bureau', 'NNP'), ('of', 'IN'), ('Labor', 'NNP'), ('Statistics', 'NNPS'), (',', ','), ('``', '``'), ('Employment', 'NN'), (',', ','), ('Hours', 'NNP'), ('and', 'CC'), ('earnings', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('Current', 'NNP'), (',', ','), ('Employment', 'NNP'), ('Statistics', 'NNPS'), ('Survey', 'NNP'), (',', ','), ("''", "''"), ('national', 'JJ'), ('(', '('), ('availabe', 'JJ'), ('at', 'IN'), ('http', 'NN'), (':', ':'), ('//data.bls.gov/outside.jsp', 'NN'), ('?', '.'), ('survey=ce/', 'NN'), (')', ')'), ('.', '.')]
